film_id,title,description,category,language,rating,release_year,rental_duration,actor,special_features,fulltext,length,rental_rate,replacement_cost
248,DOZEN LION,A Taut Drama of a Cat And a Girl who must Defeat a Frisbee in The Canadian Rockies,Documentary,English             ,NC-17,2006,6,"{'Ben Harris', 'Cameron Wray', 'Kenneth Hoffman', 'Natalie Hopkins', 'Laura Brody', 'Jada Ryder'}","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'canadian':19 'cat':8 'defeat':14 'dozen':1 'drama':5 'frisbe':16 'girl':11 'lion':2 'must':13 'rocki':20 'taut':4,177,4.99,20.99
249,DRACULA CRYSTAL,A Thrilling Reflection of a Feminist And a Cat who must Find a Frisbee in An Abandoned Fun House,Classics,English             ,G,2006,7,"{'Jodie Degeneres', 'Cameron Wray', 'Morgan Hopkins', 'Michelle Mcconaughey', 'Nick Wahlberg', 'Morgan Williams', 'Carmen Hunt', 'Daryl Crawford', 'Reese West', 'Greg Chaplin', 'Sean Williams', 'Ian Tandy', 'Ben Willis'}",{Commentaries},'abandon':19 'cat':11 'crystal':2 'dracula':1 'feminist':8 'find':14 'frisbe':16 'fun':20 'hous':21 'must':13 'reflect':5 'thrill':4,176,0.99,26.99
250,DRAGON SQUAD,A Taut Reflection of a Boy And a Waitress who must Outgun a Teacher in Ancient China,Action,English             ,NC-17,2006,4,"{'Jim Mostel', 'Anne Cronyn', 'Gene Hopkins', 'Spencer Peck', 'Susan Davis', 'Spencer Depp', 'Ed Guiness', 'Albert Nolte'}","{""Deleted Scenes"",""Behind the Scenes""}",'ancient':18 'boy':8 'china':19 'dragon':1 'must':13 'outgun':14 'reflect':5 'squad':2 'taut':4 'teacher':16 'waitress':11,170,0.99,26.99
251,DRAGONFLY STRANGERS,A Boring Documentary of a Pioneer And a Man who must Vanquish a Man in Nigeria,New,English             ,NC-17,2006,6,"{'Fay Winslet', 'Angelina Astaire', 'Christian Gable'}","{Trailers,""Behind the Scenes""}","'bore':4 'documentari':5 'dragonfli':1 'man':11,16 'must':13 'nigeria':18 'pioneer':8 'stranger':2 'vanquish':14",133,4.99,19.99
252,DREAM PICKUP,A Epic Display of a Car And a Composer who must Overcome a Forensic Psychologist in The Gulf of Mexico,Action,English             ,PG,2006,6,"{'Jodie Degeneres', 'Milla Peck', 'Jon Chase', 'Humphrey Willis'}","{Trailers,Commentaries,""Behind the Scenes""}",'car':8 'compos':11 'display':5 'dream':1 'epic':4 'forens':16 'gulf':20 'mexico':22 'must':13 'overcom':14 'pickup':2 'psychologist':17,135,2.99,18.99
253,DRIFTER COMMANDMENTS,A Epic Reflection of a Womanizer And a Squirrel who must Discover a Husband in A Jet Boat,Action,English             ,PG-13,2006,5,"{'Henry Berry', 'Val Bolger', 'Spencer Peck', 'Kirsten Paltrow', 'Audrey Bailey', 'Al Garland', 'Vivien Bergen'}","{Trailers,""Behind the Scenes""}",'boat':20 'command':2 'discov':14 'drifter':1 'epic':4 'husband':16 'jet':19 'must':13 'reflect':5 'squirrel':11 'woman':8,61,4.99,18.99
254,DRIVER ANNIE,A Lacklusture Character Study of a Butler And a Car who must Redeem a Boat in An Abandoned Fun House,Sports,English             ,PG-13,2006,4,"{'Fay Winslet', 'Morgan Williams', 'Christian Akroyd', 'Morgan Mcdormand', 'Sandra Kilmer', 'Uma Wood', 'Charlize Dench', 'Parker Goldberg'}","{Trailers,""Deleted Scenes"",""Behind the Scenes""}",'abandon':20 'anni':2 'boat':17 'butler':9 'car':12 'charact':5 'driver':1 'fun':21 'hous':22 'lacklustur':4 'must':14 'redeem':15 'studi':6,159,2.99,11.99
255,DRIVING POLISH,A Action-Packed Yarn of a Feminist And a Technical Writer who must Sink a Boat in An Abandoned Mine Shaft,Music,English             ,NC-17,2006,6,"{'Will Wilson', 'Penelope Monroe', 'Matthew Johansson', 'Susan Davis', 'Rip Winslet', 'Nick Degeneres', 'Vivien Bergen'}","{Trailers,""Deleted Scenes""}",'abandon':22 'action':5 'action-pack':4 'boat':19 'drive':1 'feminist':10 'mine':23 'must':16 'pack':6 'polish':2 'shaft':24 'sink':17 'technic':13 'writer':14 'yarn':7,175,4.99,21.99
256,DROP WATERFRONT,A Fanciful Documentary of a Husband And a Explorer who must Reach a Madman in Ancient China,Sports,English             ,R,2006,6,"{'Jessica Bailey', 'Frances Tomei', 'Mena Temple', 'Bette Nicholson', 'Cameron Streep', 'Judy Dean', 'Ed Mansfield', 'Meg Hawke'}","{Trailers,Commentaries}",'ancient':18 'china':19 'documentari':5 'drop':1 'explor':11 'fanci':4 'husband':8 'madman':16 'must':13 'reach':14 'waterfront':2,178,4.99,20.99
257,DRUMLINE CYCLONE,A Insightful Panorama of a Monkey And a Sumo Wrestler who must Outrace a Mad Scientist in The Canadian Rockies,Travel,English             ,G,2006,3,-1,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'canadian':21 'cyclon':2 'drumlin':1 'insight':4 'mad':17 'monkey':8 'must':14 'outrac':15 'panorama':5 'rocki':22 'scientist':18 'sumo':11 'wrestler':12,110,0.99,14.99
258,DRUMS DYNAMITE,A Epic Display of a Crocodile And a Crocodile who must Confront a Dog in An Abandoned Amusement Park,Horror,English             ,PG,2006,6,"{'Whoopi Hurt', 'Morgan Hopkins', 'Reese West', 'Lucille Dee', 'Jeff Silverstone', 'Jude Cruise', 'Vivien Bergen'}",{Trailers},"'abandon':19 'amus':20 'confront':14 'crocodil':8,11 'display':5 'dog':16 'drum':1 'dynamit':2 'epic':4 'must':13 'park':21",96,0.99,11.99
259,DUCK RACER,A Lacklusture Yarn of a Teacher And a Squirrel who must Overcome a Dog in A Shark Tank,Animation,English             ,NC-17,2006,4,"{'Penelope Cronyn', 'Woody Hoffman'}","{""Behind the Scenes""}",'dog':16 'duck':1 'lacklustur':4 'must':13 'overcom':14 'racer':2 'shark':19 'squirrel':11 'tank':20 'teacher':8 'yarn':5,116,2.99,15.99
260,DUDE BLINDNESS,A Stunning Reflection of a Husband And a Lumberjack who must Face a Frisbee in An Abandoned Fun House,Sports,English             ,G,2006,3,"{'Val Bolger', 'Ralph Cruz', 'Angela Witherspoon', 'Sandra Peck', 'Scarlett Bening', 'Groucho Sinatra', 'Scarlett Damon'}","{Trailers,""Deleted Scenes""}",'abandon':19 'blind':2 'dude':1 'face':14 'frisbe':16 'fun':20 'hous':21 'husband':8 'lumberjack':11 'must':13 'reflect':5 'stun':4,132,4.99,9.99
261,DUFFEL APOCALYPSE,A Emotional Display of a Boat And a Explorer who must Challenge a Madman in A MySQL Convention,Documentary,English             ,G,2006,5,"{'Cary Mcconaughey', 'Ewan Gooding', 'Groucho Sinatra'}",{Commentaries},'apocalyps':2 'boat':8 'challeng':14 'convent':20 'display':5 'duffel':1 'emot':4 'explor':11 'madman':16 'must':13 'mysql':19,171,0.99,13.99
262,DUMBO LUST,A Touching Display of a Feminist And a Dentist who must Conquer a Husband in The Gulf of Mexico,Family,English             ,NC-17,2006,5,"{'Henry Berry', 'Fay Wood', 'Ralph Cruz', 'Mae Hoffman', 'Sandra Peck', 'Sean Guiness', 'Ewan Gooding', 'Ed Mansfield', 'Mary Keitel'}","{""Behind the Scenes""}",'conquer':14 'dentist':11 'display':5 'dumbo':1 'feminist':8 'gulf':19 'husband':16 'lust':2 'mexico':21 'must':13 'touch':4,119,0.99,17.99
263,DURHAM PANKY,A Brilliant Panorama of a Girl And a Boy who must Face a Mad Scientist in An Abandoned Mine Shaft,Sports,English             ,R,2006,6,"{'Frances Tomei', 'Milla Keitel', 'Morgan Williams', 'Fay Wood', 'Matthew Johansson', 'Susan Davis', 'Scarlett Bening', 'Woody Hoffman', 'Ben Willis'}","{Trailers,Commentaries}",'abandon':20 'boy':11 'brilliant':4 'durham':1 'face':14 'girl':8 'mad':16 'mine':21 'must':13 'panki':2 'panorama':5 'scientist':17 'shaft':22,154,4.99,14.99
264,DWARFS ALTER,A Emotional Yarn of a Girl And a Dog who must Challenge a Composer in Ancient Japan,Games,English             ,G,2006,6,{'Mary Keitel'},"{Commentaries,""Deleted Scenes""}",'alter':2 'ancient':18 'challeng':14 'compos':16 'dog':11 'dwarf':1 'emot':4 'girl':8 'japan':19 'must':13 'yarn':5,101,2.99,13.99
265,DYING MAKER,A Intrepid Tale of a Boat And a Monkey who must Kill a Cat in California,Comedy,English             ,PG,2006,5,"{'Michael Bolger', 'Groucho Sinatra'}","{""Behind the Scenes""}",'boat':8 'california':18 'cat':16 'die':1 'intrepid':4 'kill':14 'maker':2 'monkey':11 'must':13 'tale':5,168,4.99,28.99
266,DYNAMITE TARZAN,A Intrepid Documentary of a Forensic Psychologist And a Mad Scientist who must Face a Explorer in A U-Boat,Classics,English             ,PG-13,2006,4,"{'Bob Fawcett', 'Julianne Dench', 'Ewan Gooding', 'Cuba Birch', 'Charlize Dench'}","{""Deleted Scenes""}",'boat':23 'documentari':5 'dynamit':1 'explor':18 'face':16 'forens':8 'intrepid':4 'mad':12 'must':15 'psychologist':9 'scientist':13 'tarzan':2 'u':22 'u-boat':21,141,0.99,27.99
267,EAGLES PANKY,A Thoughtful Story of a Car And a Boy who must Find a A Shark in The Sahara Desert,New,English             ,NC-17,2006,4,"{'Fred Costner', 'Frances Day-Lewis', 'Mae Hoffman', 'Jude Cruise', 'Scarlett Damon', 'Chris Depp'}","{Trailers,Commentaries,""Behind the Scenes""}",'boy':11 'car':8 'desert':21 'eagl':1 'find':14 'must':13 'panki':2 'sahara':20 'shark':17 'stori':5 'thought':4,140,4.99,14.99
268,EARLY HOME,A Amazing Panorama of a Mad Scientist And a Husband who must Meet a Woman in The Outback,Animation,English             ,NC-17,2006,6,"{'Dan Torn', 'Mena Temple', 'Morgan Williams', 'Scarlett Damon', 'Ben Willis', 'Walter Torn'}","{Trailers,Commentaries,""Behind the Scenes""}",'amaz':4 'earli':1 'home':2 'husband':12 'mad':8 'meet':15 'must':14 'outback':20 'panorama':5 'scientist':9 'woman':17,96,4.99,27.99
269,EARRING INSTINCT,A Stunning Character Study of a Dentist And a Mad Cow who must Find a Teacher in Nigeria,Family,English             ,R,2006,3,"{'Fred Costner', 'Lucille Tracy', 'Mae Hoffman', 'Harvey Hope', 'Rita Reynolds'}","{""Behind the Scenes""}",'charact':5 'cow':13 'dentist':9 'earring':1 'find':16 'instinct':2 'mad':12 'must':15 'nigeria':20 'studi':6 'stun':4 'teacher':18,98,0.99,22.99
270,EARTH VISION,A Stunning Drama of a Butler And a Madman who must Outrace a Womanizer in Ancient India,New,English             ,NC-17,2006,7,"{'Kenneth Torn', 'Richard Penn', 'Jayne Nolte'}","{Trailers,Commentaries,""Deleted Scenes""}",'ancient':18 'butler':8 'drama':5 'earth':1 'india':19 'madman':11 'must':13 'outrac':14 'stun':4 'vision':2 'woman':16,85,0.99,29.99
271,EASY GLADIATOR,A Fateful Story of a Monkey And a Girl who must Overcome a Pastry Chef in Ancient India,Action,English             ,G,2006,5,"{'Ed Mansfield', 'Matthew Leigh', 'Fred Costner'}","{Trailers,Commentaries,""Behind the Scenes""}",'ancient':19 'chef':17 'easi':1 'fate':4 'girl':11 'gladiat':2 'india':20 'monkey':8 'must':13 'overcom':14 'pastri':16 'stori':5,148,4.99,12.99
272,EDGE KISSING,A Beautiful Yarn of a Composer And a Mad Cow who must Redeem a Mad Scientist in A Jet Boat,Drama,English             ,NC-17,2006,5,"{'Angela Witherspoon', 'Jayne Neeson', 'Cuba Birch'}","{""Deleted Scenes""}","'beauti':4 'boat':22 'compos':8 'cow':12 'edg':1 'jet':21 'kiss':2 'mad':11,17 'must':14 'redeem':15 'scientist':18 'yarn':5",153,4.99,9.99
273,EFFECT GLADIATOR,A Beautiful Display of a Pastry Chef And a Pastry Chef who must Outgun a Forensic Psychologist in A Manhattan Penthouse,Family,English             ,PG,2006,6,"{'Julia Mcqueen', 'Renee Tracy', 'Lisa Monroe', 'Olympia Pfeiffer', 'Alec Wayne', 'Nick Stallone', 'Julia Barrymore'}",{Commentaries},"'beauti':4 'chef':9,13 'display':5 'effect':1 'forens':18 'gladiat':2 'manhattan':22 'must':15 'outgun':16 'pastri':8,12 'penthous':23 'psychologist':19",107,0.99,14.99
274,EGG IGBY,A Beautiful Documentary of a Boat And a Sumo Wrestler who must Succumb a Database Administrator in The First Manned Space Station,Documentary,English             ,PG,2006,4,"{'Meryl Gibson', 'Lucille Tracy', 'Tom Mckellen', 'Natalie Hopkins', 'Oprah Kilmer'}","{Commentaries,""Behind the Scenes""}",'administr':18 'beauti':4 'boat':8 'databas':17 'documentari':5 'egg':1 'first':21 'igbi':2 'man':22 'must':14 'space':23 'station':24 'succumb':15 'sumo':11 'wrestler':12,67,2.99,20.99
275,EGYPT TENENBAUMS,A Intrepid Story of a Madman And a Secret Agent who must Outrace a Astronaut in An Abandoned Amusement Park,Horror,English             ,PG,2006,3,"{'Kenneth Torn', 'Gary Penn', 'Cuba Olivier', 'Susan Davis', 'Chris Depp'}","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'abandon':20 'agent':12 'amus':21 'astronaut':17 'egypt':1 'intrepid':4 'madman':8 'must':14 'outrac':15 'park':22 'secret':11 'stori':5 'tenenbaum':2,85,0.99,11.99
276,ELEMENT FREDDY,A Awe-Inspiring Reflection of a Waitress And a Squirrel who must Kill a Mad Cow in A Jet Boat,Comedy,English             ,NC-17,2006,6,"{'Angela Hudson', 'Meryl Gibson', 'Kirk Jovovich', 'Bela Walken'}","{Commentaries,""Behind the Scenes""}",'awe':5 'awe-inspir':4 'boat':23 'cow':19 'element':1 'freddi':2 'inspir':6 'jet':22 'kill':16 'mad':18 'must':15 'reflect':7 'squirrel':13 'waitress':10,115,4.99,28.99
277,ELEPHANT TROJAN,A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon,Horror,English             ,PG-13,2006,4,"{'Gina Degeneres', 'Val Bolger', 'Penelope Guiness', 'Harrison Bale', 'Cameron Streep'}","{""Behind the Scenes""}",'baloon':20 'beauti':4 'eleph':1 'forens':11 'frisbe':17 'lumberjack':8 'must':14 'overcom':15 'panorama':5 'psychologist':12 'trojan':2,126,4.99,24.99
278,ELF MURDER,A Action-Packed Story of a Frisbee And a Woman who must Reach a Girl in An Abandoned Mine Shaft,Music,English             ,NC-17,2006,4,"{'Cameron Wray', 'Warren Nolte', 'Gene Hopkins', 'Albert Johansson', 'Audrey Bailey'}","{Trailers,Commentaries,""Behind the Scenes""}",'abandon':21 'action':5 'action-pack':4 'elf':1 'frisbe':10 'girl':18 'mine':22 'murder':2 'must':15 'pack':6 'reach':16 'shaft':23 'stori':7 'woman':13,155,4.99,19.99
279,ELIZABETH SHANE,A Lacklusture Display of a Womanizer And a Dog who must Face a Sumo Wrestler in Ancient Japan,Sports,English             ,NC-17,2006,7,"{'Oprah Kilmer', 'Ben Willis', 'Dan Torn'}","{Trailers,""Deleted Scenes"",""Behind the Scenes""}",'ancient':19 'display':5 'dog':11 'elizabeth':1 'face':14 'japan':20 'lacklustur':4 'must':13 'shane':2 'sumo':16 'woman':8 'wrestler':17,152,4.99,11.99
280,EMPIRE MALKOVICH,A Amazing Story of a Feminist And a Cat who must Face a Car in An Abandoned Fun House,Children,English             ,G,2006,7,"{'Fred Costner', 'Dan Torn', 'Ray Johansson', 'Ralph Cruz', 'Cuba Olivier', 'Sidney Crowe', 'Richard Penn', 'Ellen Presley', 'Helen Voight'}","{""Deleted Scenes""}",'abandon':19 'amaz':4 'car':16 'cat':11 'empir':1 'face':14 'feminist':8 'fun':20 'hous':21 'malkovich':2 'must':13 'stori':5,177,0.99,26.99
281,ENCINO ELF,A Astounding Drama of a Feminist And a Teacher who must Confront a Husband in A Baloon,Games,English             ,G,2006,6,"{'Zero Cage', 'James Pitt', 'Harvey Hope', 'Kirsten Paltrow', 'Sylvester Dern', 'Ben Willis'}","{Trailers,""Behind the Scenes""}",'astound':4 'baloon':19 'confront':14 'drama':5 'elf':2 'encino':1 'feminist':8 'husband':16 'must':13 'teacher':11,143,0.99,9.99
282,ENCOUNTERS CURTAIN,A Insightful Epistle of a Pastry Chef And a Womanizer who must Build a Boat in New Orleans,Drama,English             ,NC-17,2006,5,"{'Anne Cronyn', 'Meryl Gibson', 'Alec Wayne', 'Ewan Gooding'}",{Trailers},'boat':17 'build':15 'chef':9 'curtain':2 'encount':1 'epistl':5 'insight':4 'must':14 'new':19 'orlean':20 'pastri':8 'woman':12,92,0.99,20.99
283,ENDING CROWDS,A Unbelieveable Display of a Dentist And a Madman who must Vanquish a Squirrel in Berlin,New,English             ,NC-17,2006,6,"{'Zero Cage', 'Burt Dukakis', 'Christopher West', 'Sidney Crowe', 'Mary Tandy'}","{Commentaries,""Behind the Scenes""}",'berlin':18 'crowd':2 'dentist':8 'display':5 'end':1 'madman':11 'must':13 'squirrel':16 'unbeliev':4 'vanquish':14,85,0.99,10.99
284,ENEMY ODDS,A Fanciful Panorama of a Mad Scientist And a Woman who must Pursue a Astronaut in Ancient India,Music,English             ,NC-17,2006,5,"{'Vivien Bergen', 'Liza Bergman', 'Ewan Gooding', 'Bela Walken'}",{Trailers},'ancient':19 'astronaut':17 'enemi':1 'fanci':4 'india':20 'mad':8 'must':14 'odd':2 'panorama':5 'pursu':15 'scientist':9 'woman':12,77,4.99,23.99
285,ENGLISH BULWORTH,A Intrepid Epistle of a Pastry Chef And a Pastry Chef who must Pursue a Crocodile in Ancient China,Sci-Fi,English             ,PG-13,2006,3,"{'Mena Temple', 'Fay Wood', 'Penelope Pinkett', 'Jayne Nolte', 'Matthew Leigh'}","{""Deleted Scenes""}","'ancient':20 'bulworth':2 'chef':9,13 'china':21 'crocodil':18 'english':1 'epistl':5 'intrepid':4 'must':15 'pastri':8,12 'pursu':16",51,0.99,18.99
286,ENOUGH RAGING,A Astounding Character Study of a Boat And a Secret Agent who must Find a Mad Cow in The Sahara Desert,Travel,English             ,NC-17,2006,7,"{'Michael Bolger', 'Sandra Peck', 'Matthew Carrey', 'Richard Penn', 'Kevin Garland', 'Sean Williams', 'Julianne Dench', 'Johnny Lollobrigida', 'Al Garland'}",{Commentaries},'agent':13 'astound':4 'boat':9 'charact':5 'cow':19 'desert':23 'enough':1 'find':16 'mad':18 'must':15 'rage':2 'sahara':22 'secret':12 'studi':6,158,2.99,16.99
287,ENTRAPMENT SATISFACTION,A Thoughtful Panorama of a Hunter And a Teacher who must Reach a Mad Cow in A U-Boat,Action,English             ,R,2006,5,"{'Penelope Cronyn', 'Fred Costner', 'Frances Day-Lewis', 'Woody Hoffman'}","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'boat':22 'cow':17 'entrap':1 'hunter':8 'mad':16 'must':13 'panorama':5 'reach':14 'satisfact':2 'teacher':11 'thought':4 'u':21 'u-boat':20,176,0.99,19.99
288,ESCAPE METROPOLIS,A Taut Yarn of a Astronaut And a Technical Writer who must Outgun a Boat in New Orleans,Travel,English             ,R,2006,7,"{'Natalie Hopkins', 'Ed Mansfield', 'Frances Tomei', 'Johnny Lollobrigida'}",{Trailers},'astronaut':8 'boat':17 'escap':1 'metropoli':2 'must':14 'new':19 'orlean':20 'outgun':15 'taut':4 'technic':11 'writer':12 'yarn':5,167,2.99,20.99
289,EVE RESURRECTION,A Awe-Inspiring Yarn of a Pastry Chef And a Database Administrator who must Challenge a Teacher in A Baloon,New,English             ,G,2006,5,"{'Gene Mckellen', 'Ed Chase', 'Kenneth Hoffman', 'Rock Dukakis', 'Scarlett Bening', 'Susan Davis'}","{Trailers,Commentaries,""Deleted Scenes""}",'administr':15 'awe':5 'awe-inspir':4 'baloon':23 'challeng':18 'chef':11 'databas':14 'eve':1 'inspir':6 'must':17 'pastri':10 'resurrect':2 'teacher':20 'yarn':7,66,4.99,25.99
290,EVERYONE CRAFT,A Fateful Display of a Waitress And a Dentist who must Reach a Butler in Nigeria,Foreign,English             ,PG,2006,4,"{'Michelle Mcconaughey', 'James Pitt', 'Minnie Zellweger', 'Woody Jolie', 'Goldie Brody'}","{Trailers,Commentaries}",'butler':16 'craft':2 'dentist':11 'display':5 'everyon':1 'fate':4 'must':13 'nigeria':18 'reach':14 'waitress':8,163,0.99,29.99
291,EVOLUTION ALTER,A Fanciful Character Study of a Feminist And a Madman who must Find a Explorer in A Baloon Factory,Sports,English             ,PG-13,2006,5,"{'Elvis Marx', 'Burt Temple', 'Ray Johansson', 'Greta Malden', 'Ed Guiness', 'Angela Witherspoon'}","{""Behind the Scenes""}",'alter':2 'baloon':20 'charact':5 'evolut':1 'explor':17 'factori':21 'fanci':4 'feminist':9 'find':15 'madman':12 'must':14 'studi':6,174,0.99,10.99
292,EXCITEMENT EVE,A Brilliant Documentary of a Monkey And a Car who must Conquer a Crocodile in A Shark Tank,Action,English             ,G,2006,3,"{'Gina Degeneres', 'Morgan Hopkins', 'Penelope Pinkett', 'Sandra Peck', 'Kenneth Paltrow', 'Susan Davis', 'Grace Mostel', 'Vivien Bergen'}",{Commentaries},'brilliant':4 'car':11 'conquer':14 'crocodil':16 'documentari':5 'eve':2 'excit':1 'monkey':8 'must':13 'shark':19 'tank':20,51,0.99,20.99
293,EXORCIST STING,A Touching Drama of a Dog And a Sumo Wrestler who must Conquer a Mad Scientist in Berlin,Sports,English             ,G,2006,6,"{'Gregory Gooding', 'Kim Allen', 'Vivien Basinger', 'Goldie Brody', 'Angela Witherspoon'}","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'berlin':20 'conquer':15 'dog':8 'drama':5 'exorcist':1 'mad':17 'must':14 'scientist':18 'sting':2 'sumo':11 'touch':4 'wrestler':12,167,2.99,17.99
294,EXPECATIONS NATURAL,A Amazing Drama of a Butler And a Husband who must Reach a A Shark in A U-Boat,Travel,English             ,PG-13,2006,5,"{'Elvis Marx', 'Daryl Wahlberg', 'Laurence Bullock'}","{""Deleted Scenes""}",'amaz':4 'boat':22 'butler':8 'drama':5 'expec':1 'husband':11 'must':13 'natur':2 'reach':14 'shark':17 'u':21 'u-boat':20,138,4.99,26.99
295,EXPENDABLE STALLION,A Amazing Character Study of a Mad Cow And a Squirrel who must Discover a Hunter in A U-Boat,Documentary,English             ,PG,2006,3,"{'Dustin Tautou', 'Frances Day-Lewis', 'Jayne Neeson', 'Fay Winslet'}","{Trailers,""Behind the Scenes""}",'amaz':4 'boat':23 'charact':5 'cow':10 'discov':16 'expend':1 'hunter':18 'mad':9 'must':15 'squirrel':13 'stallion':2 'studi':6 'u':22 'u-boat':21,97,0.99,14.99
296,EXPRESS LONELY,A Boring Drama of a Astronaut And a Boat who must Face a Boat in California,Sci-Fi,English             ,R,2006,5,"{'Gregory Gooding', 'Minnie Zellweger', 'Olympia Pfeiffer', 'Albert Johansson', 'Alec Wayne', 'Sean Williams', 'Rip Winslet', 'Parker Goldberg'}",{Trailers},"'astronaut':8 'boat':11,16 'bore':4 'california':18 'drama':5 'express':1 'face':14 'lone':2 'must':13",178,2.99,23.99
297,EXTRAORDINARY CONQUERER,A Stunning Story of a Dog And a Feminist who must Face a Forensic Psychologist in Berlin,Classics,English             ,G,2006,6,"{'Henry Berry', 'Renee Ball', 'Fay Wood', 'Minnie Zellweger', 'Liza Bergman', 'Chris Bridges', 'Nick Degeneres'}","{Trailers,Commentaries,""Deleted Scenes""}",'berlin':19 'conquer':2 'dog':8 'extraordinari':1 'face':14 'feminist':11 'forens':16 'must':13 'psychologist':17 'stori':5 'stun':4,122,2.99,29.99
298,EYES DRIVING,A Thrilling Story of a Cat And a Waitress who must Fight a Explorer in The Outback,Sci-Fi,English             ,PG-13,2006,4,"{'Fay Winslet', 'Jayne Silverstone', 'Renee Tracy', 'Dan Harris', 'Michael Bening'}","{Trailers,Commentaries}",'cat':8 'drive':2 'explor':16 'eye':1 'fight':14 'must':13 'outback':19 'stori':5 'thrill':4 'waitress':11,172,2.99,13.99
299,FACTORY DRAGON,A Action-Packed Saga of a Teacher And a Frisbee who must Escape a Lumberjack in The Sahara Desert,Travel,English             ,PG-13,2006,4,"{'Meryl Gibson', 'Henry Berry', 'Mena Hopper', 'Mae Hoffman', 'Cate Mcqueen', 'Sissy Sobieski'}","{Trailers,Commentaries,""Deleted Scenes""}",'action':5 'action-pack':4 'desert':22 'dragon':2 'escap':16 'factori':1 'frisbe':13 'lumberjack':18 'must':15 'pack':6 'saga':7 'sahara':21 'teacher':10,144,0.99,9.99
300,FALCON VOLUME,A Fateful Saga of a Sumo Wrestler And a Hunter who must Redeem a A Shark in New Orleans,Animation,English             ,PG-13,2006,5,"{'Ed Mansfield', 'Kenneth Paltrow', 'Mary Tandy', 'Salma Nolte'}","{Commentaries,""Behind the Scenes""}",'falcon':1 'fate':4 'hunter':12 'must':14 'new':20 'orlean':21 'redeem':15 'saga':5 'shark':18 'sumo':8 'volum':2 'wrestler':9,102,4.99,21.99
301,FAMILY SWEET,A Epic Documentary of a Teacher And a Boy who must Escape a Woman in Berlin,Horror,English             ,R,2006,4,"{'Fay Wood', 'Daryl Wahlberg', 'Penelope Pinkett', 'Debbie Akroyd', 'Sandra Peck', 'Matthew Carrey', 'Kenneth Hoffman', 'Groucho Sinatra', 'Burt Posey'}",{Trailers},'berlin':18 'boy':11 'documentari':5 'epic':4 'escap':14 'famili':1 'must':13 'sweet':2 'teacher':8 'woman':16,155,0.99,24.99
302,FANTASIA PARK,A Thoughtful Documentary of a Mad Scientist And a A Shark who must Outrace a Feminist in Australia,Games,English             ,G,2006,5,"{'Groucho Williams', 'Harrison Bale', 'Warren Nolte'}",{Commentaries},'australia':20 'documentari':5 'fantasia':1 'feminist':18 'mad':8 'must':15 'outrac':16 'park':2 'scientist':9 'shark':13 'thought':4,131,2.99,29.99
303,FANTASY TROOPERS,A Touching Saga of a Teacher And a Monkey who must Overcome a Secret Agent in A MySQL Convention,Action,English             ,PG-13,2006,6,"{'Christopher West', 'Jon Chase', 'Greta Malden', 'Bela Walken', 'Greg Chaplin', 'Ian Tandy', 'Sean Guiness', 'Natalie Hopkins', 'Mary Keitel'}","{""Behind the Scenes""}",'agent':17 'convent':21 'fantasi':1 'monkey':11 'must':13 'mysql':20 'overcom':14 'saga':5 'secret':16 'teacher':8 'touch':4 'trooper':2,58,0.99,27.99
304,FARGO GANDHI,A Thrilling Reflection of a Pastry Chef And a Crocodile who must Reach a Teacher in The Outback,Children,English             ,G,2006,3,"{'Christopher West', 'Morgan Williams', 'Michelle Mcconaughey', 'Kenneth Pesci', 'Scarlett Damon'}","{""Deleted Scenes""}",'chef':9 'crocodil':12 'fargo':1 'gandhi':2 'must':14 'outback':20 'pastri':8 'reach':15 'reflect':5 'teacher':17 'thrill':4,130,2.99,28.99
305,FATAL HAUNTED,A Beautiful Drama of a Student And a Secret Agent who must Confront a Dentist in Ancient Japan,New,English             ,PG,2006,6,"{'Jodie Degeneres', 'Milla Peck', 'Will Wilson', 'Fay Winslet', 'Morgan Mcdormand', 'Angela Hudson'}","{Trailers,""Behind the Scenes""}",'agent':12 'ancient':19 'beauti':4 'confront':15 'dentist':17 'drama':5 'fatal':1 'haunt':2 'japan':20 'must':14 'secret':11 'student':8,91,2.99,24.99
306,FEATHERS METAL,A Thoughtful Yarn of a Monkey And a Teacher who must Find a Dog in Australia,Games,English             ,PG-13,2006,3,"{'Milla Peck', 'Nick Degeneres', 'Christian Akroyd', 'Woody Jolie', 'Kenneth Paltrow', 'Scarlett Bening', 'Jayne Nolte', 'Charlize Dench', 'Natalie Hopkins'}","{Trailers,""Deleted Scenes""}",'australia':18 'dog':16 'feather':1 'find':14 'metal':2 'monkey':8 'must':13 'teacher':11 'thought':4 'yarn':5,104,0.99,12.99
